EstadoDesc_x,number,AnoMes,Estado,EstadoDesc_y,Precipitacao,TempMaxima,TempMinima,UmidadeRelativa
Acre,0.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,0.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,1.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,1.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,3.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,7.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,71.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,739.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,1.996,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,348.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,13.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,1.0,2012-01,AC,Acre,12.301204819277109,30.414285714285718,22.55421686746988,88.35059760956176
Acre,0.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,0.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,2.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,19.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,4.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,8.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,54.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,679.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,2.136,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,258.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,79.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,3.0,2013-01,AC,Acre,12.518292682926829,31.44320987654321,22.786585365853657,87.51639344262296
Acre,0.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,0.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,1.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,7.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,1.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,17.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,60.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,1.1,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,2.175,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
Acre,406.0,2014-01,AC,Acre,14.36860465116279,30.7183908045977,22.66395348837209,88.93461538461538
