year;state;month;number;date
2014;Distrito Federal;Novembro;0;01/01/2014
2015;Distrito Federal;Novembro;3;01/01/2015
2016;Distrito Federal;Novembro;1;01/01/2016
2017;Distrito Federal;Novembro;0;01/01/2017
1998;Distrito Federal;Dezembro;0;01/01/1998
1999;Distrito Federal;Dezembro;0;01/01/1999
2000;Distrito Federal;Dezembro;0;01/01/2000
2001;Distrito Federal;Dezembro;1;01/01/2001
2002;Distrito Federal;Dezembro;1;01/01/2002
2003;Distrito Federal;Dezembro;0;01/01/2003
2004;Distrito Federal;Dezembro;0;01/01/2004
2005;Distrito Federal;Dezembro;0;01/01/2005
2006;Distrito Federal;Dezembro;0;01/01/2006
2007;Distrito Federal;Dezembro;0;01/01/2007
2008;Distrito Federal;Dezembro;0;01/01/2008
2009;Distrito Federal;Dezembro;0;01/01/2009
2010;Distrito Federal;Dezembro;1;01/01/2010
2011;Distrito Federal;Dezembro;0;01/01/2011
2012;Distrito Federal;Dezembro;0;01/01/2012
2013;Distrito Federal;Dezembro;2;01/01/2013
2014;Distrito Federal;Dezembro;0;01/01/2014
2015;Distrito Federal;Dezembro;0;01/01/2015
2016;Distrito Federal;Dezembro;0;01/01/2016
1998;Espirito Santo;Janeiro;0;01/01/1998
1999;Espirito Santo;Janeiro;33;01/01/1999
2000;Espirito Santo;Janeiro;5;01/01/2000
2001;Espirito Santo;Janeiro;1;01/01/2001
2002;Espirito Santo;Janeiro;2;01/01/2002
2003;Espirito Santo;Janeiro;4;01/01/2003
2004;Espirito Santo;Janeiro;1;01/01/2004
2005;Espirito Santo;Janeiro;4;01/01/2005
2006;Espirito Santo;Janeiro;13;01/01/2006
2007;Espirito Santo;Janeiro;0;01/01/2007
2008;Espirito Santo;Janeiro;12;01/01/2008
2009;Espirito Santo;Janeiro;4;01/01/2009
2010;Espirito Santo;Janeiro;52;01/01/2010
2011;Espirito Santo;Janeiro;3;01/01/2011
2012;Espirito Santo;Janeiro;1;01/01/2012
2013;Espirito Santo;Janeiro;10;01/01/2013
2014;Espirito Santo;Janeiro;11;01/01/2014
2015;Espirito Santo;Janeiro;76;01/01/2015
2016;Espirito Santo;Janeiro;43;01/01/2016
2017;Espirito Santo;Janeiro;13;01/01/2017
1998;Espirito Santo;Fevereiro;0;01/01/1998
1999;Espirito Santo;Fevereiro;10;01/01/1999
2000;Espirito Santo;Fevereiro;5;01/01/2000
2001;Espirito Santo;Fevereiro;5;01/01/2001
2002;Espirito Santo;Fevereiro;4;01/01/2002
2003;Espirito Santo;Fevereiro;11;01/01/2003
2004;Espirito Santo;Fevereiro;5;01/01/2004
2005;Espirito Santo;Fevereiro;1;01/01/2005
2006;Espirito Santo;Fevereiro;45;01/01/2006
2007;Espirito Santo;Fevereiro;3;01/01/2007
2008;Espirito Santo;Fevereiro;20;01/01/2008
2009;Espirito Santo;Fevereiro;12;01/01/2009
2010;Espirito Santo;Fevereiro;15;01/01/2010
2011;Espirito Santo;Fevereiro;42;01/01/2011
2012;Espirito Santo;Fevereiro;25;01/01/2012
2013;Espirito Santo;Fevereiro;15;01/01/2013
2014;Espirito Santo;Fevereiro;17;01/01/2014
2015;Espirito Santo;Fevereiro;60;01/01/2015
2016;Espirito Santo;Fevereiro;24;01/01/2016
2017;Espirito Santo;Fevereiro;8;01/01/2017
1998;Espirito Santo;Março;0;01/01/1998
1999;Espirito Santo;Março;8;01/01/1999
2000;Espirito Santo;Março;1;01/01/2000
2001;Espirito Santo;Março;2;01/01/2001
2002;Espirito Santo;Março;4;01/01/2002
2003;Espirito Santo;Março;28;01/01/2003
2004;Espirito Santo;Março;3;01/01/2004
2005;Espirito Santo;Março;3;01/01/2005
2006;Espirito Santo;Março;14;01/01/2006
2007;Espirito Santo;Março;9;01/01/2007
2008;Espirito Santo;Março;5;01/01/2008
2009;Espirito Santo;Março;11;01/01/2009
2010;Espirito Santo;Março;3;01/01/2010
2011;Espirito Santo;Março;5;01/01/2011
2012;Espirito Santo;Março;35;01/01/2012
2013;Espirito Santo;Março;13;01/01/2013
2014;Espirito Santo;Março;15;01/01/2014
2015;Espirito Santo;Março;25;01/01/2015
2016;Espirito Santo;Março;107;01/01/2016
2017;Espirito Santo;Março;9;01/01/2017
1998;Espirito Santo;Abril;0;01/01/1998
1999;Espirito Santo;Abril;2;01/01/1999
2000;Espirito Santo;Abril;3;01/01/2000
2001;Espirito Santo;Abril;2;01/01/2001
2002;Espirito Santo;Abril;2;01/01/2002
2003;Espirito Santo;Abril;22;01/01/2003
2004;Espirito Santo;Abril;0;01/01/2004
2005;Espirito Santo;Abril;4;01/01/2005
2006;Espirito Santo;Abril;1;01/01/2006
2007;Espirito Santo;Abril;2;01/01/2007
2008;Espirito Santo;Abril;8;01/01/2008
2009;Espirito Santo;Abril;8;01/01/2009
2010;Espirito Santo;Abril;7;01/01/2010
2011;Espirito Santo;Abril;3;01/01/2011
2012;Espirito Santo;Abril;74;01/01/2012
2013;Espirito Santo;Abril;16;01/01/2013
2014;Espirito Santo;Abril;15;01/01/2014
2015;Espirito Santo;Abril;33;01/01/2015
2016;Espirito Santo;Abril;57;01/01/2016
2017;Espirito Santo;Abril;7;01/01/2017
1998;Espirito Santo;Maio;0;01/01/1998
1999;Espirito Santo;Maio;16;01/01/1999
2000;Espirito Santo;Maio;2;01/01/2000
2001;Espirito Santo;Maio;8;01/01/2001
2002;Espirito Santo;Maio;5;01/01/2002
2003;Espirito Santo;Maio;1;01/01/2003
2004;Espirito Santo;Maio;0;01/01/2004
2005;Espirito Santo;Maio;5;01/01/2005
2006;Espirito Santo;Maio;0;01/01/2006
2007;Espirito Santo;Maio;1;01/01/2007
2008;Espirito Santo;Maio;2;01/01/2008
2009;Espirito Santo;Maio;7;01/01/2009
2010;Espirito Santo;Maio;3;01/01/2010
2011;Espirito Santo;Maio;2;01/01/2011
2012;Espirito Santo;Maio;20;01/01/2012
2013;Espirito Santo;Maio;14;01/01/2013
2014;Espirito Santo;Maio;18;01/01/2014
2015;Espirito Santo;Maio;17;01/01/2015
2016;Espirito Santo;Maio;48;01/01/2016
2017;Espirito Santo;Maio;10;01/01/2017
1998;Espirito Santo;Junho;6;01/01/1998
1999;Espirito Santo;Junho;6;01/01/1999
2000;Espirito Santo;Junho;9;01/01/2000
2001;Espirito Santo;Junho;9;01/01/2001
2002;Espirito Santo;Junho;18;01/01/2002
2003;Espirito Santo;Junho;19;01/01/2003
2004;Espirito Santo;Junho;3;01/01/2004
2005;Espirito Santo;Junho;8;01/01/2005
2006;Espirito Santo;Junho;5;01/01/2006
2007;Espirito Santo;Junho;4;01/01/2007
2008;Espirito Santo;Junho;4;01/01/2008
2009;Espirito Santo;Junho;12;01/01/2009
2010;Espirito Santo;Junho;3;01/01/2010
2011;Espirito Santo;Junho;7;01/01/2011
2012;Espirito Santo;Junho;15;01/01/2012
2013;Espirito Santo;Junho;22;01/01/2013
2014;Espirito Santo;Junho;9;01/01/2014
2015;Espirito Santo;Junho;18;01/01/2015
2016;Espirito Santo;Junho;49;01/01/2016
2017;Espirito Santo;Junho;37;01/01/2017
1998;Espirito Santo;Julho;37;01/01/1998
1999;Espirito Santo;Julho;9;01/01/1999
2000;Espirito Santo;Julho;16;01/01/2000
2001;Espirito Santo;Julho;12;01/01/2001
2002;Espirito Santo;Julho;9;01/01/2002
2003;Espirito Santo;Julho;27;01/01/2003
2004;Espirito Santo;Julho;4;01/01/2004
2005;Espirito Santo;Julho;9;01/01/2005
2006;Espirito Santo;Julho;11;01/01/2006
2007;Espirito Santo;Julho;13;01/01/2007
2008;Espirito Santo;Julho;5;01/01/2008
2009;Espirito Santo;Julho;25;01/01/2009
2010;Espirito Santo;Julho;5;01/01/2010
2011;Espirito Santo;Julho;18;01/01/2011
2012;Espirito Santo;Julho;35;01/01/2012
2013;Espirito Santo;Julho;20;01/01/2013
2014;Espirito Santo;Julho;17;01/01/2014
2015;Espirito Santo;Julho;30;01/01/2015
2016;Espirito Santo;Julho;42;01/01/2016
2017;Espirito Santo;Julho;3;01/01/2017
1998;Espirito Santo;Agosto;38;01/01/1998
1999;Espirito Santo;Agosto;60;01/01/1999
2000;Espirito Santo;Agosto;26;01/01/2000
2001;Espirito Santo;Agosto;30;01/01/2001
2002;Espirito Santo;Agosto;60;01/01/2002
2003;Espirito Santo;Agosto;118;01/01/2003
2004;Espirito Santo;Agosto;12;01/01/2004
2005;Espirito Santo;Agosto;12;01/01/2005
2006;Espirito Santo;Agosto;29;01/01/2006
2007;Espirito Santo;Agosto;82;01/01/2007
2008;Espirito Santo;Agosto;13;01/01/2008
2009;Espirito Santo;Agosto;17;01/01/2009
2010;Espirito Santo;Agosto;39;01/01/2010
2011;Espirito Santo;Agosto;93;01/01/2011
2012;Espirito Santo;Agosto;12;01/01/2012
2013;Espirito Santo;Agosto;53;01/01/2013
2014;Espirito Santo;Agosto;47;01/01/2014
2015;Espirito Santo;Agosto;35;01/01/2015
2016;Espirito Santo;Agosto;78;01/01/2016
2017;Espirito Santo;Agosto;30;01/01/2017
1998;Espirito Santo;Setembro;108;01/01/1998
1999;Espirito Santo;Setembro;64;01/01/1999
2000;Espirito Santo;Setembro;14;01/01/2000
2001;Espirito Santo;Setembro;38;01/01/2001
2002;Espirito Santo;Setembro;46;01/01/2002
2003;Espirito Santo;Setembro;252;01/01/2003
2004;Espirito Santo;Setembro;47;01/01/2004
2005;Espirito Santo;Setembro;8;01/01/2005
2006;Espirito Santo;Setembro;87;01/01/2006
2007;Espirito Santo;Setembro;63;01/01/2007
2008;Espirito Santo;Setembro;78;01/01/2008
2009;Espirito Santo;Setembro;57;01/01/2009
2010;Espirito Santo;Setembro;53;01/01/2010
2011;Espirito Santo;Setembro;108;01/01/2011
2012;Espirito Santo;Setembro;48;01/01/2012
2013;Espirito Santo;Setembro;30;01/01/2013
2014;Espirito Santo;Setembro;61;01/01/2014
2015;Espirito Santo;Setembro;228;01/01/2015
2016;Espirito Santo;Setembro;128;01/01/2016
2017;Espirito Santo;Setembro;58;01/01/2017
1998;Espirito Santo;Outubro;20;01/01/1998
1999;Espirito Santo;Outubro;23;01/01/1999
2000;Espirito Santo;Outubro;88;01/01/2000
2001;Espirito Santo;Outubro;19;01/01/2001
2002;Espirito Santo;Outubro;113;01/01/2002
2003;Espirito Santo;Outubro;159;01/01/2003
2004;Espirito Santo;Outubro;48;01/01/2004
2005;Espirito Santo;Outubro;62;01/01/2005
2006;Espirito Santo;Outubro;10;01/01/2006
2007;Espirito Santo;Outubro;79;01/01/2007
2008;Espirito Santo;Outubro;100;01/01/2008
2009;Espirito Santo;Outubro;13;01/01/2009
2010;Espirito Santo;Outubro;32;01/01/2010
2011;Espirito Santo;Outubro;38;01/01/2011
2012;Espirito Santo;Outubro;62;01/01/2012
2013;Espirito Santo;Outubro;37;01/01/2013
2014;Espirito Santo;Outubro;89;01/01/2014
2015;Espirito Santo;Outubro;307;01/01/2015
2016;Espirito Santo;Outubro;58;01/01/2016
2017;Espirito Santo;Outubro;56;01/01/2017
1998;Espirito Santo;Novembro;4;01/01/1998
1999;Espirito Santo;Novembro;9;01/01/1999
2000;Espirito Santo;Novembro;3;01/01/2000
2001;Espirito Santo;Novembro;3;01/01/2001
2002;Espirito Santo;Novembro;22;01/01/2002
2003;Espirito Santo;Novembro;49;01/01/2003
2004;Espirito Santo;Novembro;42;01/01/2004
2005;Espirito Santo;Novembro;0;01/01/2005
2006;Espirito Santo;Novembro;0;01/01/2006
2007;Espirito Santo;Novembro;112;01/01/2007
2008;Espirito Santo;Novembro;3;01/01/2008
2009;Espirito Santo;Novembro;18;01/01/2009
2010;Espirito Santo;Novembro;3;01/01/2010
2011;Espirito Santo;Novembro;6;01/01/2011
2012;Espirito Santo;Novembro;7;01/01/2012
2013;Espirito Santo;Novembro;11;01/01/2013
2014;Espirito Santo;Novembro;20;01/01/2014
2015;Espirito Santo;Novembro;141;01/01/2015
2016;Espirito Santo;Novembro;8;01/01/2016
2017;Espirito Santo;Novembro;3;01/01/2017
1998;Espirito Santo;Dezembro;5;01/01/1998
1999;Espirito Santo;Dezembro;0;01/01/1999
2000;Espirito Santo;Dezembro;3;01/01/2000
2001;Espirito Santo;Dezembro;1;01/01/2001
2002;Espirito Santo;Dezembro;12;01/01/2002
2003;Espirito Santo;Dezembro;18;01/01/2003
2004;Espirito Santo;Dezembro;9;01/01/2004
2005;Espirito Santo;Dezembro;5;01/01/2005
2006;Espirito Santo;Dezembro;0;01/01/2006
2007;Espirito Santo;Dezembro;14;01/01/2007
2008;Espirito Santo;Dezembro;1;01/01/2008
2009;Espirito Santo;Dezembro;32;01/01/2009
2010;Espirito Santo;Dezembro;10;01/01/2010
2011;Espirito Santo;Dezembro;1;01/01/2011
2012;Espirito Santo;Dezembro;18;01/01/2012
2013;Espirito Santo;Dezembro;9;01/01/2013
2014;Espirito Santo;Dezembro;28;01/01/2014
2015;Espirito Santo;Dezembro;61;01/01/2015
2016;Espirito Santo;Dezembro;12;01/01/2016
1998;Goias;Janeiro;0;01/01/1998
1999;Goias;Janeiro;14;01/01/1999
2000;Goias;Janeiro;10;01/01/2000
2001;Goias;Janeiro;29;01/01/2001
2002;Goias;Janeiro;12;01/01/2002
2003;Goias;Janeiro;14;01/01/2003
2004;Goias;Janeiro;10;01/01/2004
2005;Goias;Janeiro;27;01/01/2005
2006;Goias;Janeiro;85;01/01/2006
2007;Goias;Janeiro;28;01/01/2007
2008;Goias;Janeiro;23;01/01/2008
2009;Goias;Janeiro;30;01/01/2009
2010;Goias;Janeiro;59;01/01/2010
2011;Goias;Janeiro;39;01/01/2011
2012;Goias;Janeiro;21;01/01/2012
2013;Goias;Janeiro;33;01/01/2013
2014;Goias;Janeiro;80;01/01/2014
2015;Goias;Janeiro;118;01/01/2015
2016;Goias;Janeiro;52;01/01/2016
2017;Goias;Janeiro;53;01/01/2017
1998;Goias;Fevereiro;0;01/01/1998
1999;Goias;Fevereiro;334;01/01/1999
2000;Goias;Fevereiro;11;01/01/2000
2001;Goias;Fevereiro;9;01/01/2001
2002;Goias;Fevereiro;9;01/01/2002
2003;Goias;Fevereiro;47;01/01/2003
2004;Goias;Fevereiro;11;01/01/2004
2005;Goias;Fevereiro;84;01/01/2005
2006;Goias;Fevereiro;21;01/01/2006
2007;Goias;Fevereiro;13;01/01/2007
2008;Goias;Fevereiro;25;01/01/2008
2009;Goias;Fevereiro;29;01/01/2009
2010;Goias;Fevereiro;86;01/01/2010
2011;Goias;Fevereiro;45;01/01/2011
2012;Goias;Fevereiro;37;01/01/2012
2013;Goias;Fevereiro;86;01/01/2013
2014;Goias;Fevereiro;44;01/01/2014
2015;Goias;Fevereiro;53;01/01/2015
2016;Goias;Fevereiro;117;01/01/2016
2017;Goias;Fevereiro;75;01/01/2017
1998;Goias;Março;0;01/01/1998
1999;Goias;Março;1;01/01/1999
2000;Goias;Março;4;01/01/2000
2001;Goias;Março;10;01/01/2001
2002;Goias;Março;48;01/01/2002
2003;Goias;Março;29;01/01/2003
2004;Goias;Março;36;01/01/2004
2005;Goias;Março;36;01/01/2005
2006;Goias;Março;29;01/01/2006
2007;Goias;Março;49;01/01/2007
2008;Goias;Março;20;01/01/2008
2009;Goias;Março;32;01/01/2009
2010;Goias;Março;65;01/01/2010
2011;Goias;Março;19;01/01/2011
2012;Goias;Março;57;01/01/2012
2013;Goias;Março;79;01/01/2013
2014;Goias;Março;80;01/01/2014
2015;Goias;Março;76;01/01/2015
2016;Goias;Março;136;01/01/2016
2017;Goias;Março;115;01/01/2017
1998;Goias;Abril;0;01/01/1998
1999;Goias;Abril;25;01/01/1999
2000;Goias;Abril;16;01/01/2000
2001;Goias;Abril;49;01/01/2001
2002;Goias;Abril;78;01/01/2002
2003;Goias;Abril;87;01/01/2003
2004;Goias;Abril;32;01/01/2004
2005;Goias;Abril;55;01/01/2005
2006;Goias;Abril;22;01/01/2006
2007;Goias;Abril;17;01/01/2007
2008;Goias;Abril;36;01/01/2008
2009;Goias;Abril;11;01/01/2009
2010;Goias;Abril;105;01/01/2010
2011;Goias;Abril;71;01/01/2011
2012;Goias;Abril;89;01/01/2012
2013;Goias;Abril;42;01/01/2013
2014;Goias;Abril;138;01/01/2014
2015;Goias;Abril;89;01/01/2015
2016;Goias;Abril;167;01/01/2016
2017;Goias;Abril;60;01/01/2017
1998;Goias;Maio;0;01/01/1998
1999;Goias;Maio;99;01/01/1999
2000;Goias;Maio;58;01/01/2000
2001;Goias;Maio;85;01/01/2001
2002;Goias;Maio;171;01/01/2002
2003;Goias;Maio;57;01/01/2003
2004;Goias;Maio;157;01/01/2004
2005;Goias;Maio;164;01/01/2005
2006;Goias;Maio;33;01/01/2006
2007;Goias;Maio;94;01/01/2007
2008;Goias;Maio;41;01/01/2008
2009;Goias;Maio;104;01/01/2009
2010;Goias;Maio;239;01/01/2010
2011;Goias;Maio;136;01/01/2011
2012;Goias;Maio;103;01/01/2012
2013;Goias;Maio;150;01/01/2013
2014;Goias;Maio;210;01/01/2014
2015;Goias;Maio;129;01/01/2015
2016;Goias;Maio;233;01/01/2016
2017;Goias;Maio;135;01/01/2017
1998;Goias;Junho;172;01/01/1998
1999;Goias;Junho;250;01/01/1999
2000;Goias;Junho;222;01/01/2000
2001;Goias;Junho;212;01/01/2001
2002;Goias;Junho;302;01/01/2002
2003;Goias;Junho;321;01/01/2003
2004;Goias;Junho;422;01/01/2004
2005;Goias;Junho;189;01/01/2005
2006;Goias;Junho;70;01/01/2006
2007;Goias;Junho;186;01/01/2007
2008;Goias;Junho;55;01/01/2008
2009;Goias;Junho;179;01/01/2009
2010;Goias;Junho;278;01/01/2010
2011;Goias;Junho;314;01/01/2011
2012;Goias;Junho;245;01/01/2012
2013;Goias;Junho;192;01/01/2013
2014;Goias;Junho;318;01/01/2014
2015;Goias;Junho;277;01/01/2015
2016;Goias;Junho;289;01/01/2016
2017;Goias;Junho;442;01/01/2017
1998;Goias;Julho;512;01/01/1998
1999;Goias;Julho;311;01/01/1999
2000;Goias;Julho;332;01/01/2000
2001;Goias;Julho;371;01/01/2001
2002;Goias;Julho;686;01/01/2002
2003;Goias;Julho;322;01/01/2003
2004;Goias;Julho;778;01/01/2004
2005;Goias;Julho;363;01/01/2005
2006;Goias;Julho;169;01/01/2006
2007;Goias;Julho;399;01/01/2007
2008;Goias;Julho;193;01/01/2008
2009;Goias;Julho;470;01/01/2009
2010;Goias;Julho;941;01/01/2010
2011;Goias;Julho;607;01/01/2011
2012;Goias;Julho;564;01/01/2012
2013;Goias;Julho;350;01/01/2013
2014;Goias;Julho;446;01/01/2014
2015;Goias;Julho;347;01/01/2015
2016;Goias;Julho;837;01/01/2016
2017;Goias;Julho;577;01/01/2017
1998;Goias;Agosto;2.218;01/01/1998
1999;Goias;Agosto;1.198;01/01/1999
2000;Goias;Agosto;925;01/01/2000
2001;Goias;Agosto;787;01/01/2001
2002;Goias;Agosto;1.428;01/01/2002
2003;Goias;Agosto;902;01/01/2003
2004;Goias;Agosto;1.498;01/01/2004
2005;Goias;Agosto;639;01/01/2005
2006;Goias;Agosto;588;01/01/2006
2007;Goias;Agosto;2.382;01/01/2007
2008;Goias;Agosto;568;01/01/2008
2009;Goias;Agosto;647;01/01/2009
2010;Goias;Agosto;2.914;01/01/2010
2011;Goias;Agosto;1.613;01/01/2011
2012;Goias;Agosto;912;01/01/2012
2013;Goias;Agosto;488;01/01/2013
2014;Goias;Agosto;1.255;01/01/2014
2015;Goias;Agosto;943;01/01/2015
2016;Goias;Agosto;1.032;01/01/2016
2017;Goias;Agosto;1.492;01/01/2017
1998;Goias;Setembro;2.867;01/01/1998
1999;Goias;Setembro;1.898;01/01/1999
2000;Goias;Setembro;1.293;01/01/2000
2001;Goias;Setembro;1.863;01/01/2001
2002;Goias;Setembro;3.52;01/01/2002
2003;Goias;Setembro;1.662;01/01/2003
2004;Goias;Setembro;2.965;01/01/2004
2005;Goias;Setembro;1.341;01/01/2005
2006;Goias;Setembro;1.463;01/01/2006
2007;Goias;Setembro;3.745;01/01/2007
2008;Goias;Setembro;1.255;01/01/2008
2009;Goias;Setembro;685;01/01/2009
2010;Goias;Setembro;5.075;01/01/2010
2011;Goias;Setembro;2.259;01/01/2011
2012;Goias;Setembro;2.452;01/01/2012
2013;Goias;Setembro;684;01/01/2013
2014;Goias;Setembro;1.687;01/01/2014
2015;Goias;Setembro;2.296;01/01/2015
2016;Goias;Setembro;1.703;01/01/2016
2017;Goias;Setembro;3.238;01/01/2017
1998;Goias;Outubro;1.034;01/01/1998
1999;Goias;Outubro;743;01/01/1999
2000;Goias;Outubro;905;01/01/2000
2001;Goias;Outubro;479;01/01/2001
2002;Goias;Outubro;1.367;01/01/2002
2003;Goias;Outubro;1.183;01/01/2003
2004;Goias;Outubro;1.275;01/01/2004
2005;Goias;Outubro;1.717;01/01/2005
2006;Goias;Outubro;178;01/01/2006
2007;Goias;Outubro;1.195;01/01/2007
2008;Goias;Outubro;1.231;01/01/2008
2009;Goias;Outubro;367;01/01/2009
2010;Goias;Outubro;1.227;01/01/2010
2011;Goias;Outubro;476;01/01/2011
2012;Goias;Outubro;1.524;01/01/2012
2013;Goias;Outubro;606;01/01/2013
2014;Goias;Outubro;1.947;01/01/2014
2015;Goias;Outubro;1.807;01/01/2015
2016;Goias;Outubro;522;01/01/2016
2017;Goias;Outubro;2.401;01/01/2017
1998;Goias;Novembro;47;01/01/1998
1999;Goias;Novembro;110;01/01/1999
2000;Goias;Novembro;26;01/01/2000
2001;Goias;Novembro;15;01/01/2001
2002;Goias;Novembro;192;01/01/2002
2003;Goias;Novembro;168;01/01/2003
2004;Goias;Novembro;291;01/01/2004
2005;Goias;Novembro;144;01/01/2005
2006;Goias;Novembro;91;01/01/2006
2007;Goias;Novembro;79;01/01/2007
2008;Goias;Novembro;90;01/01/2008
2009;Goias;Novembro;89;01/01/2009
2010;Goias;Novembro;67;01/01/2010
2011;Goias;Novembro;59;01/01/2011
2012;Goias;Novembro;57;01/01/2012
2013;Goias;Novembro;183;01/01/2013
2014;Goias;Novembro;181;01/01/2014
2015;Goias;Novembro;547;01/01/2015
2016;Goias;Novembro;123;01/01/2016
2017;Goias;Novembro;117;01/01/2017
1998;Goias;Dezembro;13;01/01/1998
1999;Goias;Dezembro;20;01/01/1999
2000;Goias;Dezembro;6;01/01/2000
2001;Goias;Dezembro;18;01/01/2001
2002;Goias;Dezembro;115;01/01/2002
2003;Goias;Dezembro;129;01/01/2003
2004;Goias;Dezembro;56;01/01/2004
2005;Goias;Dezembro;5;01/01/2005
2006;Goias;Dezembro;7;01/01/2006
2007;Goias;Dezembro;16;01/01/2007
2008;Goias;Dezembro;6;01/01/2008
2009;Goias;Dezembro;39;01/01/2009
2010;Goias;Dezembro;48;01/01/2010
2011;Goias;Dezembro;39;01/01/2011
2012;Goias;Dezembro;93;01/01/2012
2013;Goias;Dezembro;86;01/01/2013
2014;Goias;Dezembro;68;01/01/2014
2015;Goias;Dezembro;179;01/01/2015
2016;Goias;Dezembro;64;01/01/2016
1998;Maranhao;Janeiro;0;01/01/1998
1999;Maranhao;Janeiro;54;01/01/1999
2000;Maranhao;Janeiro;19;01/01/2000
2001;Maranhao;Janeiro;29;01/01/2001
2002;Maranhao;Janeiro;48;01/01/2002
2003;Maranhao;Janeiro;436;01/01/2003
2004;Maranhao;Janeiro;241;01/01/2004
2005;Maranhao;Janeiro;450;01/01/2005
2006;Maranhao;Janeiro;221;01/01/2006
2007;Maranhao;Janeiro;428;01/01/2007
2008;Maranhao;Janeiro;121;01/01/2008
2009;Maranhao;Janeiro;240;01/01/2009
2010;Maranhao;Janeiro;319;01/01/2010
2011;Maranhao;Janeiro;124;01/01/2011
2012;Maranhao;Janeiro;326;01/01/2012
2013;Maranhao;Janeiro;209;01/01/2013
2014;Maranhao;Janeiro;195;01/01/2014
2015;Maranhao;Janeiro;494;01/01/2015
2016;Maranhao;Janeiro;412;01/01/2016
2017;Maranhao;Janeiro;187;01/01/2017
1998;Maranhao;Fevereiro;0;01/01/1998
1999;Maranhao;Fevereiro;6;01/01/1999
2000;Maranhao;Fevereiro;11;01/01/2000
2001;Maranhao;Fevereiro;1;01/01/2001
2002;Maranhao;Fevereiro;116;01/01/2002
2003;Maranhao;Fevereiro;11;01/01/2003
2004;Maranhao;Fevereiro;22;01/01/2004
2005;Maranhao;Fevereiro;56;01/01/2005
2006;Maranhao;Fevereiro;22;01/01/2006
2007;Maranhao;Fevereiro;13;01/01/2007
2008;Maranhao;Fevereiro;45;01/01/2008
2009;Maranhao;Fevereiro;20;01/01/2009
2010;Maranhao;Fevereiro;93;01/01/2010
2011;Maranhao;Fevereiro;9;01/01/2011
2012;Maranhao;Fevereiro;46;01/01/2012
2013;Maranhao;Fevereiro;62;01/01/2013
2014;Maranhao;Fevereiro;29;01/01/2014
2015;Maranhao;Fevereiro;95;01/01/2015
2016;Maranhao;Fevereiro;318;01/01/2016
2017;Maranhao;Fevereiro;47;01/01/2017
1998;Maranhao;Março;0;01/01/1998
1999;Maranhao;Março;17;01/01/1999
2000;Maranhao;Março;6;01/01/2000
2001;Maranhao;Março;0;01/01/2001
2002;Maranhao;Março;16;01/01/2002
2003;Maranhao;Março;16;01/01/2003
2004;Maranhao;Março;18;01/01/2004
2005;Maranhao;Março;9;01/01/2005
2006;Maranhao;Março;14;01/01/2006
2007;Maranhao;Março;52;01/01/2007
2008;Maranhao;Março;4;01/01/2008
2009;Maranhao;Março;33;01/01/2009
2010;Maranhao;Março;82;01/01/2010
2011;Maranhao;Março;22;01/01/2011
2012;Maranhao;Março;49;01/01/2012
2013;Maranhao;Março;30;01/01/2013
2014;Maranhao;Março;59;01/01/2014
2015;Maranhao;Março;53;01/01/2015
2016;Maranhao;Março;113;01/01/2016
2017;Maranhao;Março;32;01/01/2017
1998;Maranhao;Abril;0;01/01/1998
1999;Maranhao;Abril;4;01/01/1999
2000;Maranhao;Abril;6;01/01/2000
2001;Maranhao;Abril;2;01/01/2001
2002;Maranhao;Abril;28;01/01/2002
2003;Maranhao;Abril;79;01/01/2003
2004;Maranhao;Abril;44;01/01/2004
2005;Maranhao;Abril;43;01/01/2005
2006;Maranhao;Abril;9;01/01/2006
2007;Maranhao;Abril;5;01/01/2007
2008;Maranhao;Abril;26;01/01/2008
2009;Maranhao;Abril;14;01/01/2009
2010;Maranhao;Abril;128;01/01/2010
2011;Maranhao;Abril;37;01/01/2011
2012;Maranhao;Abril;97;01/01/2012
2013;Maranhao;Abril;62;01/01/2013
2014;Maranhao;Abril;78;01/01/2014
2015;Maranhao;Abril;119;01/01/2015
2016;Maranhao;Abril;113;01/01/2016
2017;Maranhao;Abril;91;01/01/2017
1998;Maranhao;Maio;0;01/01/1998
1999;Maranhao;Maio;3;01/01/1999
2000;Maranhao;Maio;28;01/01/2000
2001;Maranhao;Maio;21;01/01/2001
2002;Maranhao;Maio;71;01/01/2002
2003;Maranhao;Maio;60;01/01/2003
2004;Maranhao;Maio;145;01/01/2004
2005;Maranhao;Maio;74;01/01/2005
2006;Maranhao;Maio;5;01/01/2006
2007;Maranhao;Maio;73;01/01/2007
2008;Maranhao;Maio;26;01/01/2008
2009;Maranhao;Maio;19;01/01/2009
2010;Maranhao;Maio;273;01/01/2010
2011;Maranhao;Maio;73;01/01/2011
2012;Maranhao;Maio;286;01/01/2012
2013;Maranhao;Maio;100;01/01/2013
2014;Maranhao;Maio;148;01/01/2014
2015;Maranhao;Maio;194;01/01/2015
2016;Maranhao;Maio;206;01/01/2016
2017;Maranhao;Maio;142;01/01/2017
1998;Maranhao;Junho;78;01/01/1998
1999;Maranhao;Junho;32;01/01/1999
2000;Maranhao;Junho;94;01/01/2000
2001;Maranhao;Junho;100;01/01/2001
2002;Maranhao;Junho;230;01/01/2002
